h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
4.00000000,0.00000000,-4.00000000,2.00000000,1.06148785,8.99638574,2.24335098,2.94909477,10474.91036565,16086.36229519,0.00000000,0.00453539,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,2.00000000,4.00000000,1.03028240,9.26945757,2.30896432,3.02223534,12848.61864151,15168.18605255,0.00000000,0.00854680,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,-3.00000000,4.00000000,1.04551994,9.13407431,2.27619064,2.98596992,6779.00171349,5534.69696546,0.00000000,0.00880071,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,-4.00000000,4.00000000,1.03018887,9.27030097,2.30917000,3.02246129,7565.11346573,8933.66008956,180.00000000,0.00854525,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,3.00000000,4.00000000,1.01787426,9.38270617,2.33674841,3.05257743,5419.13608874,5095.15454095,0.00000000,0.00834280,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,-4.00000000,4.00000000,1.03176066,9.25614774,2.30572099,3.01866967,6022.05325732,7151.17951494,-0.00000000,0.00857127,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,-5.00000000,2.00000000,1.02466244,9.32040980,2.32142321,3.03588602,9513.94826594,11705.52131114,0.00000000,0.00422705,1.00000000,1.00000000,1.00000000
3.00000000,7.00000000,-1.00000000,4.00000000,1.01324723,9.42564935,2.34737187,3.06408439,3397.63903985,3826.20581984,180.00000000,0.00826735,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,-2.00000000,4.00000000,1.02377822,9.32847747,2.32340216,3.03804755,5770.00120029,6877.86017997,180.00000000,0.00843956,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,-3.00000000,4.00000000,1.01101090,9.44654590,2.35255883,3.06968407,3494.54983015,3843.72796681,180.00000000,0.00823101,1.00000000,1.00000000,1.00000000
2.00000000,8.00000000,-1.00000000,4.00000000,1.00822576,9.47270074,2.35906714,3.07669308,5356.73540085,5780.86680817,0.00000000,0.00818587,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,4.00000000,4.00000000,1.00603703,9.49335672,2.36421981,3.08222871,6734.60354102,7723.59180285,-180.00000000,0.00815048,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,-1.00000000,4.00000000,1.00969260,9.45890782,2.35563271,3.07299680,7011.74281142,7579.02043249,180.00000000,0.00820963,1.00000000,1.00000000,1.00000000
2.00000000,8.00000000,0.00000000,4.00000000,0.99838467,9.56628970,2.38250259,3.10177561,8282.81970217,12366.85017706,0.00000000,0.00802735,1.00000000,1.00000000,1.00000000
0.00000000,8.00000000,2.00000000,4.00000000,0.99731317,9.57659159,2.38509631,3.10453682,8181.92030593,12320.11658938,0.00000000,0.00801019,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,-5.00000000,4.00000000,1.00309713,9.52124416,2.37119413,3.08970260,5804.02960469,7836.57305378,-180.00000000,0.00810306,1.00000000,1.00000000,1.00000000
3.00000000,7.00000000,-2.00000000,4.00000000,0.99477041,9.60112796,2.39128507,3.11111348,3690.30134888,5146.62499409,180.00000000,0.00796952,1.00000000,1.00000000,1.00000000
3.00000000,7.00000000,0.00000000,4.00000000,0.98764562,9.67055397,2.40888189,3.12972367,3464.22201434,4010.46394027,180.00000000,0.00785614,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,-5.00000000,4.00000000,0.99784695,9.57145679,2.38380316,3.10316053,4232.44611839,6357.32853678,0.00000000,0.00801873,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,-3.00000000,4.00000000,0.99260659,9.62210711,2.39658914,3.11673689,4156.88832949,5131.43633757,180.00000000,0.00793500,1.00000000,1.00000000,1.00000000
2.00000000,8.00000000,-2.00000000,4.00000000,0.97500421,9.79624178,2.44106088,3.16342064,4358.46985567,5407.03925986,0.00000000,0.00765698,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,-5.00000000,4.00000000,0.98841449,9.66301357,2.40696456,3.12770230,4226.31451433,4945.18532303,180.00000000,0.00786834,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,-4.00000000,4.00000000,0.98279428,9.71840497,2.42108394,3.14255173,7564.71965175,8262.58223861,180.00000000,0.00777941,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,1.00000000,4.00000000,0.96640541,9.88362187,2.46367679,3.18685142,2418.66037974,3030.59098681,0.00000000,0.00752297,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,2.00000000,4.00000000,0.96259905,9.92280198,2.47388264,3.19735858,7492.20361296,9363.16922456,-180.00000000,0.00746403,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,3.00000000,4.00000000,0.96131182,9.93612230,2.47736159,3.20093093,4249.18461278,5341.78159240,180.00000000,0.00744415,1.00000000,1.00000000,1.00000000
5.00000000,3.00000000,-2.00000000,4.00000000,0.97227498,9.82380789,2.44817393,3.17081207,9009.72518987,12895.87419014,180.00000000,0.00761432,1.00000000,1.00000000,1.00000000
4.00000000,6.00000000,-1.00000000,4.00000000,0.96366682,9.91177963,2.47100740,3.19440259,4201.32626340,5203.25867135,-0.00000000,0.00748054,1.00000000,1.00000000,1.00000000
1.00000000,9.00000000,0.00000000,4.00000000,0.95614624,9.98993820,2.49146452,3.21536451,6438.37630237,7044.24994711,180.00000000,0.00736464,1.00000000,1.00000000,1.00000000
4.00000000,6.00000000,-2.00000000,4.00000000,0.96150098,9.93416265,2.47684948,3.20040537,5566.28607115,6997.75951966,0.00000000,0.00744707,1.00000000,1.00000000,1.00000000
5.00000000,3.00000000,-1.00000000,4.00000000,0.96018566,9.94780526,2.48041674,3.20406422,5293.36451855,6586.77777075,180.00000000,0.00742678,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,0.00000000,4.00000000,0.95547602,9.99696350,2.49331118,3.21724881,5695.60508926,6108.66478339,180.00000000,0.00735436,1.00000000,1.00000000,1.00000000
0.00000000,0.00000000,5.00000000,2.00000000,0.95525324,9.99930087,2.49392587,3.21787574,6400.89479354,6821.50630464,0.00000000,0.00367547,1.00000000,1.00000000,1.00000000
