h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
0.00000000,6.00000000,3.00000000,4.00000000,1.07630787,8.87226179,1.30624173,0.37848220,96.23095343,6968.67484175,0.00000000,1.57371832,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,2.00000000,4.00000000,1.07461315,8.88628187,1.30667338,0.37848662,120.62182398,7029.43193641,180.00000000,1.56878012,1.00000000,1.00000000,1.00000000
0.00000000,8.00000000,1.00000000,4.00000000,1.07102633,8.91610174,1.30759337,0.37849604,231.70075733,6763.78487823,0.00000000,1.55835420,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,4.00000000,4.00000000,1.06383505,8.97649569,1.30946460,0.37851519,324.96148644,6385.17958787,180.00000000,1.53755609,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,0.00000000,4.00000000,1.05096245,9.08667300,1.31290582,0.37855040,304.42850386,5856.53574212,0.00000000,1.50067678,1.00000000,1.00000000,1.00000000
0.00000000,4.00000000,4.00000000,4.00000000,1.04601602,9.12973322,1.31426041,0.37856426,108.10120000,5674.52722120,0.00000000,1.48662494,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,2.00000000,4.00000000,1.04598582,9.12999734,1.31426873,0.37856435,112.74650942,5924.60209533,180.00000000,1.48653937,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,1.00000000,4.00000000,1.04579552,9.13166230,1.31432122,0.37856489,109.09424224,5732.86966154,0.00000000,1.48600008,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,-4.00000000,2.00000000,1.03933262,9.18856747,1.31612000,0.37858329,512.88642105,16985.54615157,0.00000000,0.73387201,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,2.00000000,4.00000000,1.03315851,9.24359705,1.31786853,0.37860117,325.99754098,17002.40301121,0.00000000,1.45040939,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,-3.00000000,4.00000000,1.02964446,9.27521320,1.31887712,0.37861149,216.51905709,5240.99149642,0.00000000,1.44058938,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,-4.00000000,4.00000000,1.02380544,9.32822891,1.32057498,0.37862885,232.44934763,6918.77299897,180.00000000,1.42434621,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,3.00000000,4.00000000,1.02107081,9.35326728,1.32137971,0.37863708,254.95757514,5693.32773929,0.00000000,1.41677070,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,-4.00000000,4.00000000,1.01146037,9.44233861,1.32425738,0.37866650,178.07742915,5882.17759138,0.00000000,1.39030842,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,-5.00000000,2.00000000,1.01039546,9.45231297,1.32458108,0.37866981,115.15267337,5808.43700615,0.00000000,0.69369581,1.00000000,1.00000000,1.00000000
3.00000000,7.00000000,-1.00000000,4.00000000,1.00977414,9.45814224,1.32477039,0.37867175,90.87409473,5220.70597944,-180.00000000,1.38569123,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,-2.00000000,4.00000000,1.00953742,9.46036513,1.32484261,0.37867249,84.35910051,5001.68783272,180.00000000,1.38504364,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,-3.00000000,4.00000000,1.00757211,9.47886014,1.32544404,0.37867864,88.15377862,5144.85598823,180.00000000,1.37967324,1.00000000,1.00000000,1.00000000
2.00000000,8.00000000,-1.00000000,4.00000000,1.00686471,9.48553502,1.32566134,0.37868086,114.14422746,5711.76242419,-0.00000000,1.37774276,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,4.00000000,4.00000000,1.00654467,9.48855793,1.32575979,0.37868186,128.97793531,5825.13118809,180.00000000,1.37686982,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,-1.00000000,4.00000000,1.00072305,9.54388440,1.32756649,0.37870033,191.17316793,6228.79293434,-180.00000000,1.36103931,1.00000000,1.00000000,1.00000000
2.00000000,8.00000000,0.00000000,4.00000000,0.99890518,9.56129335,1.32813685,0.37870616,114.72157539,4627.74617033,0.00000000,1.35611485,1.00000000,1.00000000,1.00000000
0.00000000,8.00000000,2.00000000,4.00000000,0.99783755,9.57154723,1.32847320,0.37870960,127.32658790,4670.94320589,-0.00000000,1.35322691,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,-5.00000000,4.00000000,0.99433361,9.60535552,1.32958440,0.37872096,261.79348732,6418.95225153,180.00000000,1.34377045,1.00000000,1.00000000,1.00000000
3.00000000,7.00000000,-2.00000000,4.00000000,0.98852677,9.66191331,1.33145082,0.37874003,213.95026539,6562.91243614,180.00000000,1.32817214,1.00000000,1.00000000,1.00000000
3.00000000,7.00000000,0.00000000,4.00000000,0.98700571,9.67683862,1.33194493,0.37874508,139.15983456,5112.17747458,-180.00000000,1.32410138,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,-5.00000000,4.00000000,0.98473086,9.69924684,1.33268800,0.37875267,255.95578048,5222.62695667,0.00000000,1.31802495,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,-3.00000000,4.00000000,0.97487187,9.79757495,1.33596605,0.37878616,268.26106269,5340.12803481,-180.00000000,1.29185242,1.00000000,1.00000000,1.00000000
2.00000000,8.00000000,-2.00000000,4.00000000,0.97173957,9.82923392,1.33702755,0.37879700,147.70297890,6880.63300643,0.00000000,1.28359229,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,-5.00000000,4.00000000,0.97092002,9.83755118,1.33730691,0.37879986,100.86305620,5184.97568029,180.00000000,1.28143545,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,-4.00000000,4.00000000,0.96974115,9.84953973,1.33770994,0.37880397,103.24066198,4989.66760132,-180.00000000,1.27833618,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,1.00000000,4.00000000,0.96695904,9.87794893,1.33866668,0.37881375,107.22231330,4914.58268695,-0.00000000,1.27103686,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,2.00000000,4.00000000,0.96545188,9.89340776,1.33918829,0.37881907,137.85435041,5849.02474381,180.00000000,1.26709134,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,3.00000000,4.00000000,0.96519287,9.89606926,1.33927817,0.37881999,145.99580149,5766.89674729,180.00000000,1.26641392,1.00000000,1.00000000,1.00000000
5.00000000,3.00000000,-2.00000000,4.00000000,0.96018940,9.94776645,1.34102805,0.37883786,171.43173938,7247.19976136,180.00000000,1.25336325,1.00000000,1.00000000,1.00000000
4.00000000,6.00000000,-1.00000000,4.00000000,0.95860506,9.96424925,1.34158762,0.37884358,134.38060752,7545.16623409,0.00000000,1.24924491,1.00000000,1.00000000,1.00000000
1.00000000,9.00000000,0.00000000,4.00000000,0.95736371,9.97720186,1.34202791,0.37884807,184.79915189,7435.50988817,180.00000000,1.24602292,1.00000000,1.00000000,1.00000000
4.00000000,6.00000000,-2.00000000,4.00000000,0.95309195,10.02203381,1.34355568,0.37886367,113.17344844,5497.75747701,0.00000000,1.23496718,1.00000000,1.00000000,1.00000000
5.00000000,3.00000000,-1.00000000,4.00000000,0.95259600,10.02726494,1.34373433,0.37886550,90.04285810,5397.89755931,-180.00000000,1.23368681,1.00000000,1.00000000,1.00000000
5.00000000,1.00000000,0.00000000,4.00000000,0.95160505,10.03773360,1.34409209,0.37886915,85.53684929,6585.17280356,180.00000000,1.23113052,1.00000000,1.00000000,1.00000000
0.00000000,0.00000000,5.00000000,2.00000000,0.95139833,10.03992023,1.34416686,0.37886991,131.11914208,10202.37057113,0.00000000,0.61529879,1.00000000,1.00000000,1.00000000
1.00000000,9.00000000,-1.00000000,4.00000000,0.95119201,10.04210349,1.34424152,0.37887068,71.31969899,5526.20502441,180.00000000,1.23006582,1.00000000,1.00000000,1.00000000
2.00000000,8.00000000,1.00000000,4.00000000,0.95071893,10.04711336,1.34441291,0.37887243,77.60476960,5671.74463634,0.00000000,1.22884691,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,-4.00000000,4.00000000,0.95031754,10.05136785,1.34455851,0.37887391,84.99928989,5687.31179167,-0.00000000,1.22781321,1.00000000,1.00000000,1.00000000
